,dt,clouds,visibility,rain,temp,feels_like,temp_min,temp_max,pressure,sea_level,ground_level,humidity,weather_main,weather_description,wind_speed,wind_deg,wind_direction
0,2020-08-28_20:00:00,59,10000,0.0,21.6,20.89,20.71,21.6,1002,1002,997,57,Clouds,broken clouds,2.21,188,S
1,2020-08-28_23:00:00,83,10000,0.0,19.16,17.62,18.26,19.16,1001,1001,996,64,Clouds,broken clouds,3.17,201,SSW
2,2020-08-29_02:00:00,95,10000,0.3,17.28,15.6,16.93,17.28,1002,1002,997,75,Rain,light rain,3.65,194,SSW
3,2020-08-29_05:00:00,99,10000,0.0,16.31,13.85,16.26,16.31,1001,1001,996,75,Clouds,overcast clouds,4.34,232,SW
4,2020-08-29_08:00:00,100,10000,0.0,16.4,13.46,16.4,16.4,1003,1003,998,69,Clouds,overcast clouds,4.54,243,WSW
5,2020-08-29_11:00:00,100,10000,0.0,19.19,16.44,19.19,19.19,1004,1004,999,57,Clouds,overcast clouds,4.18,239,WSW
6,2020-08-29_14:00:00,91,10000,0.0,23.57,19.69,23.57,23.57,1004,1004,999,37,Clouds,overcast clouds,4.89,234,SW
7,2020-08-29_17:00:00,94,10000,0.0,23.31,20.07,23.31,23.31,1005,1005,1000,40,Clouds,overcast clouds,4.29,230,SW
8,2020-08-29_20:00:00,97,10000,0.0,20.89,19.6,20.89,20.89,1005,1005,1000,48,Clouds,overcast clouds,1.7,197,SSW
9,2020-08-29_23:00:00,99,10000,0.3,19.12,17.68,19.12,19.12,1007,1007,1002,59,Rain,light rain,2.49,222,SW
10,2020-08-30_02:00:00,99,10000,0.0,18.04,16.79,18.04,18.04,1007,1007,1002,65,Clouds,overcast clouds,2.39,219,SW
11,2020-08-30_05:00:00,100,10000,0.0,17.73,16.82,17.73,17.73,1007,1007,1002,66,Clouds,overcast clouds,1.89,204,SSW
12,2020-08-30_08:00:00,100,10000,0.0,17.85,17.03,17.85,17.85,1008,1008,1003,68,Clouds,overcast clouds,1.99,202,SSW
13,2020-08-30_11:00:00,100,10000,0.0,21.25,20.35,21.25,21.25,1008,1008,1003,52,Clouds,overcast clouds,1.74,188,S
14,2020-08-30_14:00:00,100,10000,0.16,23.15,21.71,23.15,23.15,1008,1008,1003,43,Rain,light rain,2.07,174,S
15,2020-08-30_17:00:00,98,10000,1.15,18.5,16.42,18.5,18.5,1008,1008,1003,70,Rain,light rain,4.27,142,SE
16,2020-08-30_20:00:00,99,10000,0.49,17.02,15.94,17.02,17.02,1007,1007,1002,77,Rain,light rain,2.86,158,SSE
17,2020-08-30_23:00:00,100,10000,1.38,16.4,14.38,16.4,16.4,1009,1009,1004,82,Rain,light rain,4.36,201,SSW
18,2020-08-31_02:00:00,100,10000,1.21,15.96,15.18,15.96,15.96,1010,1010,1005,83,Rain,light rain,2.48,241,WSW
19,2020-08-31_05:00:00,100,10000,0.0,15.92,15.21,15.92,15.92,1010,1010,1005,83,Clouds,overcast clouds,2.36,271,W
20,2020-08-31_08:00:00,100,10000,0.58,15.44,13.89,15.44,15.44,1013,1013,1007,84,Rain,light rain,3.43,323,NW
21,2020-08-31_11:00:00,97,10000,0.41,18.08,16.21,18.08,18.08,1015,1015,1010,71,Rain,light rain,3.88,314,NW
22,2020-08-31_14:00:00,98,10000,0.27,20.35,17.7,20.35,20.35,1016,1016,1011,55,Rain,light rain,4.25,305,NW
23,2020-08-31_17:00:00,100,10000,0.0,20.56,17.2,20.56,20.56,1016,1016,1011,48,Clouds,overcast clouds,4.55,306,NW
24,2020-08-31_20:00:00,65,10000,0.0,17.45,15.04,17.45,17.45,1017,1017,1012,57,Clouds,broken clouds,3.08,330,NNW
25,2020-08-31_23:00:00,83,10000,0.0,15.58,13.62,15.58,15.58,1018,1018,1013,64,Clouds,broken clouds,2.42,338,NNW
